t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26
0.0016666651666966555,0.000000009048374994713459,0.3076447498202222,0.04071768747621041,0.00008124107028794638,0.024999393346420026,0.000000009048374994713459,0.35250279888277086,0.0000006136222281985092,0.000000013031345572953416,0.000000010019879602818116,0.00000009055142469193599,0.000000009048374994713459,0.0143672034344115,0.00000009352839147571085,0.040678275298822134,0.0000023507777646218635,0.000000009048374994713459,0.000000009048721766277068,0.00000000995522535180299,0.00000017401092118446764,0.0000001485822644831746,0.00000000000024559351524672343,0.00000001924472391119852,0.000000009900990397926694,0.000000009048374994713459,0.000000009048374994713459,
0.0033333318334112486,0.000000008187308267637445,0.27836848109967843,0.036842887204365446,0.00008213823179797241,0.024998844435728352,0.000000008187308267637445,0.34803938051622874,0.0000011547637019973937,0.000000020800549139708834,0.000000010039570696711724,0.0000001719074941431789,0.000000008187308267637445,0.014408409189204455,0.0000003531076879540496,0.07377592403115857,0.000008030558023994533,0.00000000981603551963732,0.000000008187622039524669,0.000000009902816457835013,0.0000001708918275849986,0.00000045578280522845366,0.00000000000027142281071867567,0.000000026813670836265976,0.000000009803922320874245,0.000000008187308267637445,0.000000008187308267637445,
0.00499999850012584,0.000000007408182873553272,0.2518782177008362,0.033336822930988184,0.00008278064758735019,0.02499834777118172,0.000000007408182873553272,0.31758360921013384,0.0000016403193743985603,0.00000003190938786537903,0.000000010059052686287276,0.00000025384428007397304,0.000000007408182873553272,0.014417177957375979,0.000000805863041009375,0.10066810835720962,0.000016583278019236082,0.00000001085499908556549,0.000000007408466786098238,0.000000009842859049162307,0.00000015571238768738805,0.0000007200810474856306,0.00000000000029996859690863095,0.0000000330106002031451,0.000000009708739297359984,0.000000007408182873553272,0.000000007408182873553272,
0.006666665166840433,0.000000006703201063643968,0.2279088361639268,0.030164404786398955,0.00008323435719750486,0.024997898379019584,0.000000006703201063643968,0.2886085630336202,0.0000020763468377975445,0.000000045274010873299904,0.000000010078313731157305,0.0000003361809498313673,0.000000006703201063643968,0.014428373227288235,0.0000014711104029354295,0.12248073544438882,0.00002739207834412179,0.000000012005944849225492,0.000000006703457958338728,0.000000009775475963306542,0.00000014139819177853552,0.0000009372853236996273,0.00000000000033151656963935757,0.000000038084216814571986,0.000000009615386907385387,0.000000006703201063643968,0.000000006703201063643968,
0.008333331833555026,0.0000000060653071430036885,0.2062204428621481,0.02729388214351722,0.0000835482839895429,0.024997491759137694,0.0000000060653071430036885,0.26229242452717216,0.0000024681809997429454,0.0000000600595896709905,0.000000010097349230323281,0.00000041878363410409336,0.0000000060653071430036885,0.01444153434803426,0.0000023691285158708135,0.14013561478808445,0.00003991525578451264,0.000000013280723380429498,0.000000006065539590935953,0.000000009700821918070687,0.00000012840264072266454,0.0000011154219754097921,0.00000000000036638247162561213,0.0000000422381430068555,0.000000009523812794303584,0.0000000060653071430036885,0.0000000060653071430036885,
0.009999998499344433,0.0000000054881168548706836,0.18659597306560705,0.024696525846916024,0.00008375867435655835,0.024997123839953724,0.0000000054881168548706836,0.23846807610205678,0.0000028205312367107226,0.00000007562830315010812,0.000000010116159330346903,0.000000501556270486479,0.0000000054881168548706836,0.014456284743076728,0.000003512779608612177,0.15438745487008632,0.00005355152172744016,0.000000014692460569193177,0.000000005488327182457394,0.000000009619078169284807,0.00000011663475831731127,0.0000012615813322288537,0.0000000000004049152525333335,0.00000004563909069616773,0.000000009433966579143712,0.0000000054881168548706836,0.0000000054881168548706836,
0.01166666516513384,0.000000004965853484840621,0.16883901848459096,0.022346340681780985,0.00008389238307718692,0.02499679093757588,0.000000004965853484840621,0.21690514012571924,0.000003137563654529465,0.00000009149790940542436,0.000000010134746471121095,0.000000584430526182081,0.000000004965853484840621,0.0144723162598064,0.0000049410021933746685,0.16585415346043367,0.00006815637909876868,0.000000016255687087745175,0.000000004966043797111429,0.000000009530448190042501,0.00000010598037108220035,0.000001381581196456165,0.0000000000004475005613851139,0.00000004842355209431501,0.00000000934579977319049,0.000000004965853484840621,0.000000004965853484840621,
0.013333331830923247,0.000000004493290045567999,0.15277186154931913,0.02021980520505348,0.00008396930695592426,0.02499648971886856,0.000000004493290045567999,0.19738875778422627,0.000003422971032883191,0.00000010730873835467819,0.00000001015311340389604,0.0000006673581226488996,0.000000004493290045567999,0.014489376505473328,0.000006687703440056043,0.17504159721894072,0.00008347165432239747,0.00000001798649039372202,0.000000004493462247231976,0.000000009435154229328087,0.00000009633359547521531,0.0000014801720597473605,0.0000000000004945646062653822,0.000000050703277609370266,0.000000009259265691966811,0.000000004493290045567999,0.000000004493290045567999,
0.014999998496712654,0.000000004065696963318378,0.13823369675284208,0.018295636334931108,0.00008400418776024106,0.024996217168039347,0.000000004065696963318378,0.1797238642981194,0.0000036800325384218465,0.0000001227973928035849,0.000000010171261800380746,0.0000007503052011815142,0.000000004065696963318378,0.014507258936134077,0.0000087886108994963,0.18236396589149664,0.00009925509371221694,0.00000001990267911310115,0.000000004065852777827147,0.000000009333434528471614,0.00000008759835806283149,0.0000015612329298081168,0.0000000000005465784199540199,0.0000000525697607748515,0.000000009174319372254489,0.000000004065696963318378,0.000000004065696963318378,
0.01666666516250206,0.0000000036787947428055955,0.12507902125540782,0.016554576342624836,0.00008400794793463062,0.024995970556411753,0.0000000036787947428055955,0.16373386474604737,0.000003911664900239399,0.00000013777580078087403,0.00000001018919141814535,0.000000833248214227817,0.0000000036787947428055955,0.014525794544652644,0.00001128289831026202,0.18816035597981254,0.00011529853610612747,0.000000022023965652494213,0.0000000036789357296030756,0.000000009225541021406068,0.00000007968768736096994,0.0000016279325895606006,0.0000000000006040625741808887,0.00000005409791020125355,0.000000009090917492889825,0.0000000036787947428055955,0.0000000036787947428055955,
0.01833333183014184,0.0000000033287111365644864,0.11317617864321163,0.014979200114540342,0.00008398868017947025,0.02499574741508012,0.0000000033287111365644864,0.14925894295294242,0.00000412046643023724,0.00000015211454101562806,0.000000010206899724055002,0.0000009161709394350617,0.0000000033287111365644864,0.014544845055362516,0.000014213186294002054,0.19270839105097695,0.00013142110703471117,0.000000024372168300240607,0.0000000033288387066943502,0.000000009111737389716762,0.00000007252287564334415,0.0000016828608494642278,0.0000000000006675923896826092,0.000000055349055916974386,0.000000009009018299605088,0.0000000033287111365644864,0.0000000033287111365644864,
0.019999998497781616,0.0000000030119423901967846,0.10240604126670583,0.013553740755884272,0.00008395238059769247,0.024995545510170317,0.0000000030119423901967846,0.13615447535123112,0.000004308755021800454,0.0000001657295833614791,0.000000010224381861654956,0.0000009990623171595858,0.0000000030119423901967846,0.014564297352273119,0.000017625479083110055,0.19623536491631882,0.00014746371042280085,0.000000026971434882178918,0.00000000301205782042353,0.000000008992297377984948,0.00000006603269808003775,0.0000017281353078826118,0.0000000000007378036942058643,0.00000005637341075297719,0.00000000892858153390895,0.0000000030119423901967846,0.0000000030119423901967846,
