t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26
0.7316666665635877,0.000000000001557914011820188,0.24962029608017472,0.024960473238816495,0.000048351057125487146,0.024795199721740657,0.00000000000000000000000000000000000000000006305996349554545,0.000026194113906006443,0.0000927785861751015,0.0000686798425720374,0.000023567364210843013,0.000026643714699159513,0.00000000000010414523612991684,0.0000001666773785520648,0.000000010158495718102174,0.000019601636432981505,0.0000001565190504408703,0.000000000000167609089054365,0.000000005235708180962563,0.0000000002644822123600388,0.00000000006644555764585576,0.000000001603436431051645,0.0000000000004006334296758771,0.00000000066659320798158,0.000000000000000000002597433313408317,0.000000000000000000000000000000000004203994759379695,0.0000000000000000000000000000000000001348504259229783,
0.7333333332497313,0.000000000001581051428618055,0.24961913774413222,0.024960148822287875,0.00004830273021270775,0.0247947355232243,0.00000000000000000000000000000000000000000006652237314746409,0.00002623966387816592,0.00009294562002014116,0.00006874094835742396,0.00002364108579382252,0.00002669194384674975,0.00000000000010472871938722643,0.00000016864555100964696,0.00000001027857548841041,0.000019761937370466745,0.00000015836714510959055,0.00000000000016959046761242015,0.0000000052975346462627254,0.0000000002680371342096814,0.00000000006723400675060465,0.000000001624912326581826,0.0000000000004006386368606351,0.0000000006693459948112675,0.0000000000000000000026674608749671136,0.00000000000000000000000000000000000443482353401034,0.00000000000000000000000000000000000014222141020953247,
0.7349999999358747,0.000000000001604435687495187,0.24961797817519904,0.024959823105042776,0.000048254451602439075,0.024794271335638194,0.00000000000000000000000000000000000000000007016137023451315,0.000026285155617956916,0.00009311246547007786,0.00006880181247529404,0.00002371457519356859,0.000026740123243745,0.0000000000001053129877653691,0.0000001706297853019372,0.00000001039963764433369,0.000019922873113037578,0.0000001602303192436103,0.00000000000017158805865720076,0.0000000053598605517312236,0.00000000027162349687273065,0.00000000006802877080338781,0.0000000016466494937447967,0.0000000000004006438650592697,0.0000000006721012607925798,0.000000000000000000002739113507626685,0.000000000000000000000000000000000004677421883528864,0.0000000000000000000000000000000000001499665013374534,
0.7366666666220182,0.0000000000016280682780385411,0.2496168173749248,0.024959496089622307,0.00004820622124640136,0.024793807158919677,0.0000000000000000000000000000000000000000000739851520834247,0.000026330589165631108,0.00009327912139815405,0.00006886243733364089,0.000023787832392565545,0.000026788252923053545,0.00000000000010589803712696617,0.0000001726301448428515,0.000000010521686103788284,0.00002008444232935975,0.000000162108632338985,0.0000000000001736019268889357,0.000000005422687989646676,0.0000000002752414113330709,0.00000000006882987442840942,0.0000000016686502690404335,0.00000000000040064911423263123,0.0000000006748589964996844,0.000000000000000000002812422582899379,0.000000000000000000000000000000000004932343120069798,0.00000000000000000000000000000000000015810320412690654,
0.7383333333081618,0.0000000000016519506911178091,0.24961565534458033,0.024959167778572714,0.00004815803909636281,0.024793342993032944,0.00000000000000000000000000000000000000000007800253985279575,0.000026375964561424684,0.00009344558669420415,0.00006892282531175854,0.00002386085738927904,0.000026836332917443777,0.00000000000010648386338517066,0.00000017464669291298495,0.000000010644724776997727,0.00002024664368435722,0.00000016400214376614596,0.00000000000017563213688139146,0.000000005486019054628011,0.0000000002788909881945646,0.00000000006963734225609012,0.0000000016909169995937653,0.00000000000040065438434148977,0.0000000006776191926023639,0.0000000000000000000028874199507799813,0.0000000000000000000000000000000000052001643365193883,0.00000000000000000000000000000000000016664977211828694,
0.7399999999943052,0.0000000000016760844188970392,0.24961449208566666,0.024958838174449646,0.000048109905104139894,0.024792878837979763,0.0000000000000000000000000000000000000000000822223760300413,0.000026421281845558072,0.00009361186026455856,0.00006898297876046341,0.000023933650197889516,0.000026884363259543873,0.0000000000001070704625029684,0.0000001766794926592447,0.000000010768757566469652,0.000020409475839357785,0.00000016591091276956597,0.00000000000017767875308147918,0.000000005549855843694142,0.00000000028257233768818313,0.00000000007045119892378607,0.0000000017134520431520866,0.0000000000004006596753464669,0.0000000006803818398649144,0.0000000000000000000029641379450486503,0.000000000000000000000000000000000005481487331402791,0.00000000000000000000000000000000000017562523654884137,
0.741666665013782,0.0000000000017004709303325544,0.24961332760082705,0.024958507280148194,0.00004806181926965947,0.02479241469422604,0.00000000000000000000000000000000000000000008665424080202892,0.000026466541013004602,0.00009377794086594863,0.00006904289994251831,0.00002400621077558404,0.00002693234393388602,0.0000000000001076578299047586,0.00000017872860503720503,0.000000010893788241442085,0.000020572937288457326,0.00000016783499653563294,0.00000000000017974183773757224,0.00000000561420039172391,0.00000000028628556594987496,0.00000000007127146825302656,0.0000000017362577451400714,0.0000000000004006649872027372,0.0000000006831469263786596,0.00000000000000000000304260930925245,0.00000000000000000000000000000000000577693926319348,0.00000000000000000000000000000000000018504942667622529,
0.7433333316999255,0.0000000000017251117689845527,0.24961216188916385,0.02495817509757435,0.00004801378144866214,0.02479195056084525,0.00000000000000000000000000000000000000000009130768585169232,0.000026511742194471023,0.00009394382776953581,0.00006910259127230826,0.00002407853931230498,0.000026980275068779585,0.00000000000010824596282594124,0.0000001807940970235236,0.000000011019820938987707,0.00002073702701313756,0.0000001697744579040185,0.00000000000018182145916799728,0.000000005679054929401906,0.00000000029003078991252326,0.00000000007209817653770326,0.0000000017593365301501574,0.00000000000040067031988135566,0.0000000006859144486236606,0.0000000000000000000031228675177164078,0.00000000000000000000000000000000000608717483629768,0.0000000000000000000000000000000000001949430389317098,
0.744999998386069,0.000000000001750008406713276,0.24961099495328545,0.024957841629633753,0.000047965791641219706,0.02479148643830329,0.0000000000000000000000000000000000000000000961931411084656,0.000026556885384840325,0.00009410951976431967,0.00006916205495654595,0.000024150635795128863,0.000027028156648427007,0.0000000000001088348567880269,0.0000001828760293210419,0.000000011146859413810734,0.000020901743501630375,0.00000017172935382289889,0.00000000000018391767938228162,0.000000005744421497212962,0.0000000002938081150338424,0.00000000007293134762329033,0.0000000017826907651093584,0.000000000000400675673337332,0.0000000006886843948770117,0.0000000000000000000032049463101795123,0.000000000000000000000000000000000006412875553642933,0.0000000000000000000000000000000000002053276124817033,
0.7466666650722125,0.0000000000017751623409837039,0.2496098267946488,0.024957506878908672,0.00004791784979934069,0.024791022326601922,0.00000000000000000000000000000000000000000010132128844279401,0.00002660197062426805,0.0000942750158215451,0.00006922129323441548,0.000024222500298482787,0.00002707598870489605,0.00000000000010942450794668632,0.0000001849744645385173,0.00000001127490753735208,0.000021067085402272846,0.00000017369974302966367,0.00000000000018603056231662547,0.000000005810302202369779,0.00000000029761765012450974,0.00000000007377100618204897,0.0000000018063228502266217,0.00000000000040068104753086917,0.0000000006914567562696961,0.0000000000000000000032888800093418367,0.000000000000000000000000000000000006754751943111737,0.00000000000000000000000000000000000021622559962435678,
